topic,image_id
84,Ib8da647392735e3b0f3292f8
92,I23777f9c7131ed305ec8dfc4
59,If2121031123a9c750fadf431
56,Ice749872db9aa8c1cf01db8f
95,I4aa7415b55306c1f0ff7de75
97,I804a1c31cda5b90b3d67334c
92,I91ee3408275539a215972a6b
78,Ibf931c7ce9e444748201d66f
96,Ic17948695f07f87654990214
70,I23f90ff4c7b5ed3874a3dd35
76,I165c20c8d5ade7f2bb879fa7
74,I18369986f8149e2b5fcac1aa
94,Id76487247693f03047970b6a
66,Ic748ae455ba02a1c2513395e
80,I03bf7373c08bab68af716352
77,I39c23438ccf70bc9b72edc77
99,I2459e344c88e78a4bc38966d
61,Id9122c3c8ea9dcf438eed491
51,I1a02d314a0e6712d190eb07d
95,Id1a45999bed89ab95306398c
67,I6364e09cf21bc8245310e672
78,I5ee7079656fb692b2d24e606
64,Iec1a3a31f63e7b2c83e390ce
75,I13bc75ef8e2f489ee3ea4934
55,I4ee9ea5e74e4c050b4f8c8ee
67,I2402be1f9b288621e5dbae0a
77,Ia1cb9faeff174564c202b89c
77,I619cc17344fbdc15079bb926
92,I5c29aef19a66d080a4abd7cc
87,Id82daa355434479cea0f0984
98,I63921ae8a2ee0a036734eae6
90,I2a27018ad1637d53d2f21653
99,I5f0a32be8ce630d6ce832b4a
94,I57dca57fe012f31b3284e296
78,I32fa28e308d8ebb28f377d5a
85,I19c94c7c4b82e1fef3358abd
85,I3ca1a910aaece21b666a140d
68,I70fa8c2d37719967715df6be
72,I60a1e276fa3a23e302621d7a
51,I977f2f01b39f8a76e940016a
57,Ia40419ad2f97dc550e46aac3
59,Ia48a7086e278f17c173d2b92
83,I91538a111e0dca693352af66
97,Ib2a93b47ceb30dc73b1f85fb
51,Iebd24883f032c7fd013c0a9c
52,I49ac27a8a160ed24a5060fd5
96,Id3aa39b71e9dfec6977a14c6
54,I34767c35b849bb7b30d4a994
70,Ieee5b94a551ecfba1d64ec9b
64,I2bb2b65096543ec0d9bbd9a3
100,If9e207ca4fe37e7792281149
86,I5d53f2dcbc6d971e2358b38d
99,I69b31d383bc2c39b6c40895e
59,I719b551084989186d3d68abb
70,I5f468e6438542fbedee2bdf0
68,Ib79d2bf93ff07c34a8d5e3bd
65,I1ea4e603b0395fc77e952bb6
73,Ie5bf66a2cb4d02f11c5c11f6
70,I67f95b8bf822ddf27dfc4f7f
84,Ia7df953c038154f4841b6c74
64,I304e164dc4e1fba86f9d2b77
57,I904cbe188800aed4b388f6c1
56,I0072d498da5bcbbf1fa31b27
76,I370b9017a9f4e5c0f11b549a
68,I46c559957b8e4e911b0788ac
89,Ibc11475c679b212c763f199e
79,Idad2810586364c43fb23bc0d
70,Iea85bb287bbe34a17c6f85b2
73,I16074243108875fe521711a1
55,I6d1c787cbaf9b48d26dd9dba
73,Ib22b0b1c21efe3edd137076e
87,Idf86c1f15376981e4bd9636a
52,Ie0126711fb756f3862e8b58a
68,Ib11d147d96a0fd41304f3851
73,Ib61cc8a2da2f03d5c1dc6bdf
78,I18e0fab632f61f517b5e0d98
78,Ia73408ecdfe34a3f6ece1531
99,I32626aca83846251e67f55aa
77,I49116593fd968e3db990ea54
72,I7b51b6c111a0ac10fe42f065
60,I4b5097bce3601ba6b09e2e1f
79,Ibfbe7b3c71c8ef7464c32862
87,Ida967d0aa29a2d322e2cb932
55,I267271eb9a917434c9fbcd48
74,I357a85455b2c1cb6b4754e46
88,Ic7cb3b2008107606cfb57231
54,Iae0e7e96df4fef1304af5677
54,I47f996ef4db45732b1e188da
52,I274bb4a7b8baf8e522cabe8e
61,I2ef91dc1535600959281aa46
64,I88a3fbee3557d31f807556cd
94,I17fc6a7330305eb78af56a77
55,I1489fd24b9cafe771e9eefb2
69,Ibfb5fd8367cbe997305c6b12
79,If1dcbb256f481ced6bc415a5
96,I2a8926fbd8986954138b17ab
53,Ia0f2f8b71e56c0d3554f3313
55,Ie0c39918ef500db044beea3c
66,Ifee38a260b9acb01d2a274b8
51,Ie16f84c2f2dd79a2ae4787a0
51,If8325a67b40feaff1068bd2f
62,I481808bb605a67cddad7c10e
51,I5fda7728ef8c95bd58ac3955
64,I6ddebbfa3201f321df9b0fbb
95,Ib498bbb8d01b5cbc0af79cc4
61,Id82413d4fc24c6d5e1e5858c
